"","b_10","b_11","b_20","b_21","b_22","rho"
"1",1.95681967735243,-1.93940954561342,-3.04957983285921,3.14756511514437,-0.145430281140206,-0.616161863001049
"2",2.11907814535756,-2.07729537047448,-2.21749310997876,2.95458380699509,-1.18811435785347,0.105299495229962
"3",2.0789846729976,-2.0063424494312,-0.655679770227642,1.75548524518206,-2.15218736280541,0.549490873252771
"4",2.11630265322147,-2.14208303578866,-3.04818692062234,3.07522094959716,0.138590866902566,-0.696562179785522
"5",2.08078467201591,-2.08450457447757,-3.36833763020359,3.35739497943071,0.00773711632541158,-0.57905253426402
"6",2.10184668774192,-2.09159165438996,-1.1039936594088,2.22061125787363,-2.02740306795602,0.475976381497227
"7",2.08194896677539,-2.08204209799466,-2.32403161080417,2.91166210934241,-1.17291149487633,0.01876297433066
"8",1.92067520888128,-1.91692716337803,-1.02897500075675,2.01340321574735,-1.97687160267022,0.440403353272369
"9",1.87230568198014,-1.86086713330156,-1.18492219573039,2.00355220438098,-1.6345427295367,0.298733486191265
"10",2.03625993163856,-1.95459143038701,-0.727866295243953,1.92825959454279,-2.23133305915828,0.529310395299655
"11",2.03326408393758,-2.03490783357777,-0.844536661578184,1.78528397646673,-1.89337202671207,0.551893021997122
"12",1.96536904683308,-1.93560792708435,-1.12294017137008,2.08996690127921,-1.88183880657927,0.365545153482416
"13",2.00537403110697,-1.98238110027206,-1.26717472515476,2.27807443126113,-1.96779888462986,0.499824323532885
"14",2.08367426156035,-2.08666886836984,-0.586583755560607,1.7019946032955,-2.11287707391784,0.602570771942198
"15",1.90134827363092,-1.89693370777696,-0.971711155351965,2.08842511127554,-2.060939657638,0.55409052038307
"16",1.98879613232218,-1.99077523267408,-3.2817853132134,3.39423666713013,-0.0970801789869011,-0.586241039677647
"17",2.12521412316591,-2.06745490511183,-0.608847725569251,1.71382203720737,-2.1454144687472,0.640938208352277
"18",1.95279052696009,-1.91199688988798,-0.415161057755366,1.50080279356149,-2.19178908760722,0.657412361286532
"19",2.0046762813676,-2.02886480475435,-1.1156674252159,2.24156571135815,-2.15533802054091,0.566559343647752
"20",2.00334136274812,-2.0682574942377,-1.57145880778687,2.33914036284609,-1.62168799571493,0.17445196497012
"21",1.86831408209407,-1.8734671604983,-1.79744565576361,2.45386255623406,-1.35928328252993,0.158986820600584
"22",1.88316332902047,-1.84807253848992,-0.134637631368579,1.31273901272583,-2.36569892530075,0.769567044433459
"23",1.92898650783758,-1.94807029461046,-1.40321625448384,2.29918754218564,-1.68077864704826,0.357455786164888
"24",1.8267076681359,-1.83002090361919,-0.219314816587926,1.48873117799285,-2.50884872827957,0.777097724208875
"25",2.02256802641306,-2.09753494463807,-1.39742148352078,2.37321241601953,-1.90051121704175,0.431692863624184
"26",2.137049928618,-2.09287751608445,-0.626991461084148,1.90566177105118,-2.31277822255902,0.615634396767824
"27",2.03459804314564,-2.01776726170027,-0.812512655955879,1.8066484400672,-2.00568118215875,0.525473691374502
"28",1.96789965932517,-1.99784449921642,-0.618741155259627,1.72435247136091,-2.28406299554048,0.619801893293514
"29",2.17461997899344,-2.15889364015465,-1.88043617912022,2.54672843711639,-1.24216484375537,0.055646170236939
"30",2.09988821492778,-2.00146604903972,-2.13713114705077,2.64059407168736,-1.08465672475605,-0.0646775794143801
"31",2.09564149606215,-2.14678449710979,-0.492817457786038,1.64646131067413,-2.45514479126539,0.805350449630949
"32",2.16463042274995,-2.19618504011985,-0.689352097033926,1.88490419530849,-2.36101328169115,0.710742936556499
"33",2.0207746575171,-2.02371460553608,-1.24540688771872,2.23379700675972,-1.88913238153121,0.507611614870908
"34",2.0474713637711,-2.05828456108418,-0.688344405247807,1.95595195890567,-2.45600109753342,0.737719719861227
"35",1.8911076681321,-1.89577299970023,-2.30195948851038,2.73667219316827,-0.849790377181976,-0.096804163695094
"36",1.88564010844002,-1.87937942203989,-0.497022998099046,1.65500580133288,-2.37401091062608,0.694170468541005
